id;tense;source/target;is correct target?;is correct translation?;w1;w2;w3;pos1;pos2;pos3;lemma1;lemma2;lemma3;comments;full fragment;source words;source fragment
17683;pretérito perfecto compuesto;target;yes;yes;he;probado;;VHfin;VLadj;;haber;probar;;;Jamás los he probado ,;Habe gegessen;Habe ich noch nie gegessen .
17684;pretérito indefinido;target;yes;yes;acorralamos;;;VLfin;;;acorralamos;;;;Mi Capitán , acorralamos un grupo que se quedó rezagado .;haben umzingelt;Capitán , wir haben eine kleine zurückgefallene Einheit umzingelt .
17685;pretérito indefinido;target;yes;yes;dió;;;VLfin;;;dar;;;;Fue la luna quien os dió a luz .;geboren hat;Es war der Mond , der dich geboren hat .
17686;pretérito perfecto compuesto;target;yes;yes;ha;prometido;;VHfin;VLadj;;haber;prometer;;;Dufte se ha prometido ,;ist verlobt;Dufte ist verlobt .
17687;pretérito imperfecto;target;yes;yes;estaba;;;VEfin;;;estar;;;;- Sí , le estaba esperando .;habe erwartet;- Ja , ich habe Sie erwartet .
17688;pretérito indefinido;target;yes;yes;salvaste;;;VLfin;;;salvaste;;;;¡ Me salvaste la vida !;hast gerettet;Du hast mein Leben gerettet !
17690;presente;target;yes;yes;expone;;;VLfin;;;exponer;;;;¿ Dices que expone en Londres ?;hat ausgestellt;- Er hat in London ausgestellt ?
17691;pretérito pluscuamperfecto;target;yes;yes;hubiera;dicho;;VHfin;VLadj;;haber;decir;;;Quién lo hubiera dicho de Johann ?;hätte gedacht;Wer hätte das von Johann gedacht ?
17693;pretérito perfecto compuesto;target;yes;yes;ha;llamado;;VHfin;VLadj;;haber;llamar;;;Hasta me ha llamado puta .;hat beschimpft;Er hat mich als Nutte beschimpft !
17694;pretérito indefinido;target;yes;yes;encontramos;;;VLfin;;;encontrar;;;;"Hace poco más de un año ,
El Capitán y yo nos encontramos de nuevo .";haben wiedergetroffen;Vor etwa einem Jahr , haben der Capitán und ich uns wiedergetroffen .
17695;pretérito perfecto compuesto;target;yes;yes;has;conseguido;;VHfin;VLadj;;haber;conseguir;;;¡ Mira lo que has conseguido !;angerichtet hast;Schau , was du angerichtet hast !
17696;pretérito indefinido;target;yes;yes;Soné;;;VLfin;;;Soné;;;;Soné el silbato , pero no sirvió de nada .;habe betätigt;Ich habe die Pfeiffe betätigt , aber sie wollten sich nicht bewegen .
17697;pretérito perfecto compuesto;target;yes;yes;habéis;seguido;;VHfin;VLadj;;haber;seguir;;;No habéis seguido con la prueba .;hast vollendet;Du hast die Aufgabe nicht vollendet .
17699;pretérito perfecto compuesto;target;yes;yes;ha;pasado;;VHfin;VLadj;;haber;pasar;;;¿ Qué ha pasado ?;ist passiert;Was ist passiert ?
17700;pretérito perfecto compuesto;target;yes;yes;has;hecho;;VHfin;VLadj;;haber;hacer;;;Me has hecho daño con lo que has hecho .;hat verletzt;Was du getan hast , hat mich verletzt .
17701;pretérito perfecto compuesto;target;yes;yes;ha;sido;rechazada;VHfin;VSadj;VLadj;haber;ser;rechazar;;La comandancia dice que no , La solicitud ha sido rechazada ,;ist abgelehnt;Unser Antrag ist abgelehnt worden .
17702;pretérito perfecto compuesto;target;yes;yes;has;tomado;;VHfin;VLadj;;haber;tomar;;;"- ¡ Joder , no !
¿ También has tomado Doliprane ?";Hast genommen;Hast du auch Dolipran genommen ?
17703;pretérito perfecto compuesto;target;yes;yes;Han;envenenado;;VHfin;VLadj;;haber;envenenar;;;"Mi marido ha muerto .
Han envenenado a mi hijo .";haben vergiftet;Mein Gatte ist von mir gegangen , mein Kind haben sie vergiftet .
17704;pretérito perfecto compuesto;target;yes;yes;he;equivocado;;VHfin;VLadj;;haber;equivocar;;;Perdón , me he equivocado en el precio .;habe geirrt;Verzeihung , ich habe mich beim Preis geirrt .
17706;presente;target;yes;yes;está;;;VEfin;;;estar;;;;Su papel ya está listo .;ist unterschrieben;Ihr Formular ist unterschrieben .
17708;pretérito perfecto compuesto;target;yes;yes;ha;vuelto;;VHfin;VLadj;;haber;volver;;;El resto de los hombres no ha vuelto , los puestos de vigilancia no contestan .;hat geschafft;Der Rest der Männer hat es nicht geschafft .
17709;pretérito indefinido;target;yes;yes;costó;;;VLfin;;;costar;;;;Por cierto , me costó lo suyo , pero lo encontré .;hat gedauert;Es hat gedauert , aber ich hab ' s gefunden .
17711;pretérito perfecto compuesto;target;yes;yes;Ha;destruido;;VHfin;VLadj;;haber;destruir;;;"- Ha destruido toda la azada .
- Sí .";hat zerstört;- Er hat die ganze Hacke zerstört .
17712;pretérito perfecto compuesto;target;yes;yes;han;salvado;;VHfin;VLadj;;haber;salvar;;;Los dioses nos han salvado con una pala de arena ,;hat geschickt;Gott hat uns eine Schaufel Sand geschickt .
17713;pretérito indefinido;target;yes;yes;hice;;;VLfin;;;hacer;;;;Mira lo que te hice .;gemacht habe;Schau , was ich für Dich gemacht habe .
17714;pretérito perfecto compuesto;target;yes;yes;ha;contestado;;VHfin;VLadj;;haber;contestar;;;"El caso es que ha contestado .
¡ Buenas noches !";hat geantwortet;Jedenfalls hat sie geantwortet Gute Nacht !
17715;pretérito perfecto compuesto;target;yes;yes;He;escuchado;;VHfin;VLadj;;haber;escuchar;;;He escuchado de fuentes confiables , que esto no fue causado por un error técnico sino que fue un ataque fallido contra Maaskantje ordenado por el gobierno holandés ... ... para matar a cinco hombres .;habe erfahren;Aus zuverlässiger Quelle habe ich erfahren , dass es kein Fehler von Belgien ist .
17717;presente;target;yes;yes;está;;;VEfin;;;estar;;;;La gran flota submarina alemana está sufriendo los primeros reveses ,;hat erlitten;Die deutsche U-Bootflotte hat erste ernste Rückschläge erlitten .
17718;pretérito perfecto compuesto;target;yes;yes;has;hecho;;VHfin;VLadj;;haber;hacer;;;Me has hecho daño con lo que has hecho .;getan hast;Was du getan hast , hat mich verletzt .
17719;pretérito perfecto compuesto;target;yes;yes;ha;sumado;;VHfin;VLadj;;haber;sumar;;;María de Guisa ha sumado a sus tropas francesas en Escocia 4000 hombres .;hat verstärkt;Maria von Guise hat ihre Truppen in Schottland um 4000 Mann verstärkt .
17720;pretérito indefinido;target;yes;yes;obedeciste;;;VLfin;;;obedeciste;;;;¿ Por qué no me obedeciste ?;haben gehört;Warum haben sie nicht auf mich gehört ?
17721;pretérito perfecto compuesto;target;yes;yes;ha;demorado;;VHfin;VLadj;;haber;demorar;;;¿ Qué os ha demorado , Walsingham ?;hat aufgehalten;Was hat Euch aufgehalten , Walsingham ?
17722;pretérito perfecto compuesto;target;yes;yes;Hemos;hecho;;VHfin;VLadj;;haber;hacer;;;Hemos hecho todo lo posible , Espero que sea de su agrado ,;haben getan;Wir haben unser Möglichstes getan .
17723;pretérito perfecto compuesto;target;yes;yes;ha;levantado;;VHfin;VLadj;;haber;levantar;;;¡ Su Majestad no se ha levantado !;ist aufgestanden;Euer Gnaden , lhre Majestät ist noch nicht aufgestanden .
17725;pretérito indefinido;target;yes;yes;Viste;;;VLfin;;;ver|ver|vestir;;;;¿ Viste a mi madre ?;Hast gesehen;Hast Du meine Mutter gesehen ?
17726;pretérito perfecto compuesto;target;yes;yes;Has;dicho;;VHfin;VLadj;;haber;decir;;;Has dicho que sí .;hast gesagt;Du hast Ja gesagt !
17728;presente;target;yes;yes;Vamos;perdiendo;;VLfin;VLger;;ir;perder;;;Vamos perdiendo ,;hat verloren;Unsere Mannschaft hat verloren .
17731;pretérito indefinido;target;yes;yes;Olvidaron;;;VLfin;;;olvidar;;;;"¡ Caramba !
Olvidaron este billete de lotería .";haben vergessen;Verdammt , sie haben dieses Lotterielos vergessen .
17732;pretérito perfecto compuesto;target;yes;yes;Ha;girado;;NC;VLadj;;Ha;girar;;;Se escucha más fuerte , Ha girado , 55 grados ,;hat gedreht;Der hat gedreht . 55.
17733;pretérito perfecto compuesto;target;yes;yes;He;librado;;VHfin;VLadj;;haber;librar;;;He librado a Inglaterra de sus enemigos .;habe befreit;Ich habe England von seinen Feinden befreit .
17734;pretérito indefinido;target;yes;yes;convencieron;;;VLfin;;;convencer;;;;Nos convencieron de que éste sería un día soñado ,;haben vorgemacht;Die haben uns was vorgemacht .
17736;pretérito pluscuamperfecto;target;yes;yes;había;dicho;;VHfin;VLadj;;haber;decir;;;Vale , pero no me lo había dicho .;Hat gesagt;Hat sie nicht gesagt .
17737;pretérito perfecto compuesto;target;yes;yes;Han;debido;;VHfin;VMadj;;haber;deber;;;Han debido descubrir nuestro periscopio ,;entdeckt haben;Die müssen das Sehrohr entdeckt haben .
17738;pretérito perfecto compuesto;target;yes;yes;ha;molado;;VHfin;VLadj;;haber;molado;;;¿ No le ha molado por teléfono ?;Sind abgefahren;- Sind Sie auf sie abgefahren am Telefon ?
17739;pretérito perfecto compuesto;target;yes;yes;habéis;convenido;;VHfin;VLadj;;haber;convenir;;;de que habéis convenido con María para fomentar vuestras ambiciones .;aufgenommen habt;... daß lhr Kontakt nach Schottland zu Maria aufgenommen habt , um Euer Anliegen voranzutreiben .
17740;presente;target;yes;yes;Está;arreglado;;VEfin;VLadj;;estar;arreglar;;;Está todo arreglado , Es más fácil que salgáis los dos ,;Ist arrangiert;Ist schon alles arrangiert .
17741;pretérito indefinido;target;yes;yes;Olvidaron;;;VLfin;;;olvidar;;;;¡ Olvidaron esto !;habt zurückgelassen;Ihr habt dies hier zurückgelassen !
17743;pretérito perfecto compuesto;target;yes;yes;habéis;elegido;;VHfin;VLadj;;haber;elegir;;;Y habéis elegido bien , Alteza .;hast gewählt;Und du hast gut gewählt , Eure Hoheit .
17744;pretérito perfecto compuesto;target;yes;yes;has;notado;;VHfin;VLadj;;haber;notar;;;Está enferma a causa del bebé . ¿ Lo has notado ?;Hast bemerkt;Hast Du das bemerkt ?
17745;pretérito indefinido;target;yes;yes;pediste;;;VLfin;;;pedir;;;;- No lo pediste .;hast bestellt;- Du hast nix bestellt .
17746;pretérito perfecto compuesto;target;yes;yes;has;leido;;VHfin;VLadj;;haber;leido;;;¿ Los has leido todos ?;Hast gelesen;Hast du die alle gelesen ?
17748;pretérito imperfecto;target;yes;yes;Estabamos;;;VLfin;;;Estabamos;;;;- ¡ Estabamos equivocados !;haben gemacht;- Wir haben einen Fehler gemacht !
17749;pretérito imperfecto;target;yes;yes;preguntábamos;;;VLfin;;;preguntar;;;;Nos preguntábamos si podríamos hacerle un par de preguntas .;haben gefragt;Wir haben uns gefragt , ob wir euch ein paar Fragen stellen dürfen .
17752;pretérito indefinido;target;yes;yes;creyó;;;VLfin;;;creer;;;;Ella creyó que lo conseguiríais desde el principio .;hat geglaubt;Sie hat an dich geglaubt von Anfang an .
17753;pretérito perfecto compuesto;target;yes;yes;Ha;enviado;;VHfin;VLadj;;haber;enviar;;;Ha enviado una nota .;hat geschrieben;Sie hat was dazu geschrieben :
17754;pretérito indefinido;target;yes;yes;Cogieron;;;VLfin;;;coger;;;;- Cogieron a uno de ellos vivo .;haben erwischt;Sie haben einen lebendig erwischt .
17755;pretérito pluscuamperfecto;target;yes;yes;hubieses;pedido;;VHfin;VLadj;;haber;pedir;;;Si me lo hubieses pedido , yo te lo habría dado , Mercedes .;gefragt hättest;wenn du danach gefragt hättest hätte ich es dir gegeben , Mercedes .
17756;pretérito perfecto compuesto;target;yes;yes;has;hecho;;VHfin;VLadj;;haber;hacer;;;- ¿ Lo has hecho tú ?;Hast gemacht;Hast du das gemacht ?
17757;pretérito indefinido;target;yes;yes;cometí;;;VLfin;;;cometer;;;;Porque , Majestad , ninguno cometí .;begangen habe;Weil ich , Eure Majestät , keine begangen habe .
17758;condicional compuesto;target;yes;yes;habría;dicho;;VHfin;VLadj;;haber;decir;;;Nunca lo habría dicho .;hätte gedacht;Das hätte ich nie gedacht .
17759;pretérito indefinido;target;yes;yes;dijeron;;;VLfin;;;decir;;;;No fue eso lo que nos dijeron ?;gesagt haben;Aber es ist nicht , wie alle gesagt haben .
17760;pretérito perfecto compuesto;target;yes;yes;He;navegado;;VHfin;VLadj;;haber;navegar;;;He navegado en una goleta , Preciosa , Con bodegas grandes como catedrales ,;bin gesegelt;Ich bin auf einem Schoner gesegelt .
17761;pretérito perfecto compuesto;target;yes;yes;has;matado;;VHfin;VLadj;;haber;matar;;;"¡ Lo has matado !
¡ Lo has matado !";haben getötet;Sie haben ihn getötet , Sie haben ihn getötet !
17762;pretérito indefinido;target;yes;yes;hicieron;;;VLfin;;;hacer;;;;Sí que lo hicieron rápido .;haben getan;Das haben sie verdammt schnell getan .
17763;pretérito perfecto compuesto;target;yes;yes;hayan;finalizado;;VHfin;VLadj;;haber;finalizar;;;Cuando hayan finalizado las reparaciones , en unas ocho horas ,;beendet sind;Wenn Reparaturen beendet sind .
17764;condicional simple;target;yes;yes;aliviaría;;;VLfin;;;aliviar;;;;Un afeitado muy apurado me aliviaría .;wäre erlöst;Ein kurzer Schnitt und ich wäre erlöst .
17766;pretérito indefinido;target;yes;yes;detectamos;;;VLfin;;;detectar;;;;A las 8 , detectamos actividad en el sector noroeste .;haben bemerkt;Um 8 Uhr haben wir Bewegungen im nord-westlichen Sektor bemerkt .
17767;pretérito indefinido;target;yes;yes;dijeron;;;VLfin;;;decir;;;;"Nos dijeron que pondríamos a prueba nuestra virilidad ,
No necesitar a nadie y sacrificarnos por la patria y el honor ,";haben erzählt;Die haben uns erzählt , es wäre der Beweis für unsere Männlichkeit , niemanden zu brauchen und für das Vaterland zu sterben .
17768;condicional compuesto;target;yes;yes;habría;dado;;VHfin;VLadj;;haber;dar;;;¡ Lo que yo no habría dado por tener un vestido ... tan bonito como éste cuando era pequeña !;hätte gegeben;Was hätte ich in deinem Alter dafür gegeben , solch ein Kleid zu haben ... so fein wie dieses !
17769;pretérito perfecto compuesto;target;yes;yes;ha;promulgado;;VHfin;VLadj;;haber;promulgar;;;Su Santidad ha promulgado la bula .;hat erlassen;Seine Heiligkeit hat das Edikt erlassen .
17771;pretérito perfecto compuesto;target;yes;yes;he;empezado;;VHfin;VLadj;;haber;empezar;;;- Ya he empezado ,;Habe angefangen;- Habe schon angefangen .
17772;pretérito perfecto compuesto;target;yes;yes;Has;puesto;;VHfin;VLadj;;haber;poner;;;Has puesto a mamá muy enferma .;hast gemacht;Du hast Mama sehr krank gemacht .
17774;pretérito perfecto compuesto;target;yes;yes;Has;pensado;;VHfin;VLadj;;haber;pensar;;;- ¿ Has pensado en eso ?;Hast nachgedacht;- Hast du darüber nachgedacht ?
17775;pretérito perfecto compuesto;target;yes;yes;habéis;divorciado;;VHfin;VLadj;;haber;divorciar;;;No creo que debierais aleccionarme en eso , mi Señor , pues ya os habéis divorciado dos veces .;seid geschieden;Denn zweimal seid lhr schon geschieden , und nun zum dritten Mal verheiratet !
17776;pretérito perfecto compuesto;target;yes;yes;has;tomado;;VHfin;VLadj;;haber;tomar;;;- ¿ Qué has tomado ?;hast genommen;- Was hast du genommen ?
17777;pretérito indefinido;target;yes;yes;refugiaron;;;VLfin;;;refugiar;;;;Se refugiaron en el peñasco .;sind gegangen;Sie sind auf dem Hügel in Deckung gegangen .
17778;pretérito perfecto compuesto;target;yes;yes;He;rezado;;VHfin;VLadj;;haber;rezar;;;"¿ Sabes qué , Driss ?
He rezado mucho por ti .
Que Dios me perdone , pero tengo más niños , y aún hay esperanza para ellos .";habe gebetet;Weißt du , Driss , ich habe viel für dich gebetet , aber Gott möge mir vergeben , ich habe andere Kinder .
17779;presente;target;yes;yes;estoy;;;VEfin;;;estar;;;;Lo que estoy tratando de explicar , es que fue un accidente .;habe probiert;Ich habe probiert zu erklären , dass es ein Zwischenfall ist .
17780;pretérito indefinido;target;yes;yes;instaló;;;VLfin;;;instalar;;;;Un sapo monstruoso se instaló en sus raíces ... y no deja al árbol curarse .;hat niedergelassen;Eine monströse Kröte hat sich in seinen Wurzeln niedergelassen und läßt den Baum nicht mehr gedeihen .
17782;pretérito perfecto compuesto;target;yes;yes;has;seguido;;VHfin;VLadj;;haber;seguir;;;¿ Me has seguido hasta aquí ?;Bist gefolgt;Bist du mir hierher gefolgt ?
17783;presente;target;yes;yes;está;quemado;;VEfin;VLadj;;estar;quemar;;;Este café está quemado .;ist verbrannt;Dieser Kaffee ist verbrannt .
17784;pretérito perfecto compuesto;target;yes;yes;han;perdido;;VHfin;VLadj;;haber;perder;;;Los destructores nos han perdido el rastro ,;verloren haben;Sind sicher , daß Zerstörer uns verloren haben .
17785;pretérito perfecto compuesto;target;yes;yes;he;citado;;VHfin;VLadj;;haber;citar;;;"No te he citado .
En fin ...";habe bestellt;Ich habe dich nicht bestellt .
17787;pretérito perfecto compuesto;target;yes;yes;has;dicho;;VHfin;VLadj;;haber;decir;;;- ¿ Qué has dicho ?;hast gesagt;- Was hast du gesagt ?
17788;pasado reciente;target;yes;yes;Acaba;de;regresar;VLfin;PREP;VLinf;acabar;de;regresar;;Acaba de regresar del exilio y le he encomendado vuestra custodia .;ist zurückgekehrt;Er ist aus dem Exil zurückgekehrt .
18251;pretérito indefinido;target;yes;yes;Hicimos;;;VLfin;;;hacer;;;;- Hicimos lo que pudimos , señor ,;hebben gedaan;- We hebben ons best gedaan .
18252;pretérito indefinido;target;yes;yes;Tuve;;;VLfin;;;tener;;;;Tuve tantos nombres ....;heb gehad;Ik heb vele namen gehad .
18253;pretérito perfecto compuesto;target;yes;yes;ha;decidido;;VHfin;VLadj;;haber;decidir;;;En Maaskantje una persona ha decidido no pagar por nada .;heeft besloten;Hier in Maaskantje op het Triestplein heeft een bewoner besloten om nergens meer voor te betalen .
18254;presente;target;yes;yes;está;;;VEfin;;;estar;;;;Ya está listo , señor , La señal está descodificada ,;is gedecodeerd;Het radiobericht is gedecodeerd .
18255;pretérito perfecto compuesto;target;yes;yes;he;oído;;VHfin;VLadj;;haber;oír;;;Es la música más bella que jamás he oído ,;heb gehoord;De mooiste muziek die ik ooit heb gehoord .
18256;pretérito perfecto compuesto;target;yes;yes;He;escuchado;;VHfin;VLadj;;haber;escuchar;;;He escuchado de fuentes confiables , que esto no fue causado por un error técnico sino que fue un ataque fallido contra Maaskantje ordenado por el gobierno holandés ... ... para matar a cinco hombres .;heb vernomen;Uit betrouwbare bron heb ik vernomen dat het geen fout van België is .
18258;pretérito indefinido;target;yes;yes;Decidí;;;VLfin;;;decidir;;;;"Decidí daros ...
otra oportunidad .";heb besloten;Ik heb besloten je nog een laatste kans te geven .
18260;pretérito indefinido;target;yes;yes;encontraste;;;PPC;;;él;;;;Teníamos 2 paquetes de 6, ¿ Los encontraste ?;heb genomen;We hadden twee 6-packs , heb jij die genomen ?
18263;pretérito perfecto compuesto;target;yes;yes;has;visto;;VHfin;VLadj;;haber;ver;;;¿ Y no la has visto ?;hebt gezien;En je hebt haar nog nooit gezien ?
18264;pretérito perfecto compuesto;target;yes;yes;ha;sido;;VHfin;VSadj;;haber;ser;;;No tienes idea de lo bueno que ha sido para nosotras .;heeft gedaan;Hij heeft veel voor ons gedaan .
18266;pretérito perfecto compuesto;target;yes;yes;ha;llamado;;VHfin;VLadj;;haber;llamar;;;"Dios me ha ...
Dios me ha llamado a ser ...";heeft aangesteld;God heeft mij aangesteld ...
18267;pretérito perfecto compuesto;target;yes;yes;Has;puesto;;VHfin;VLadj;;haber;poner;;;Has puesto a mamá muy enferma .;hebt gemaakt;Je hebt mama erg ziek gemaakt .
18270;pretérito perfecto compuesto;target;yes;yes;he;amado;;VHfin;VLadj;;haber;amar;;;"No , os amo a vos .
Siempre os he amado .";heb gehouden;Nee , ik heb altijd van jou gehouden .
18272;pretérito perfecto compuesto;target;yes;yes;habéis;encerrado;;VHfin;VLadj;;haber;encerrar;;;Decidnos con qué autoridad nos habéis encerrado aquí .;heb opgesloten;Op wiens gezag heb je ons opgesloten ?
18274;pretérito perfecto compuesto;target;yes;yes;ha;sido;arrestado;VHfin;VSadj;VLadj;haber;ser;arrestar;;¿ Y por qué nadie ha sido arrestado ?;heeft opgepakt;Waarom heeft niemand ze nog opgepakt ?
18275;pretérito indefinido;target;yes;yes;despidieron;;;VLfin;;;despedir;;;;Pero me despidieron , porque llevé a mi perro conmigo al trabajo .;ben ontslagen;En nou ben ik ontslagen omdat ik m ' n hond had meegenomen naar m ' n werk .
18277;pretérito indefinido;target;yes;yes;dió;;;VLfin;;;dar;;;;Fue la luna quien os dió a luz .;heeft gebaard;De maan heeft u gebaard .
18280;pretérito perfecto compuesto;target;yes;yes;he;visto;;VHfin;VLadj;;haber;ver;;;Nunca la he visto .;heb gezien;Ik heb haar nog nooit gezien .
18282;pretérito perfecto compuesto;target;yes;yes;ha;ordenado;;VHfin;VLadj;;haber;ordenar;;;Se me ha ordenado escoltaros desde este lugar hasta la Torre .;heb gekregen;Ik heb het bevel gekregen u naar de Tower te brengen .
18284;pretérito perfecto compuesto;target;yes;yes;hayan;finalizado;;VHfin;VLadj;;haber;finalizar;;;Cuando hayan finalizado las reparaciones , en unas ocho horas ,;is hersteld;Als alle averij is hersteld .
18285;pretérito indefinido;target;yes;yes;molestaron;;;VLfin;;;molestar;;;;Éramos solo cuatro y nos molestaron .;zijn genaaid;We waren slechts met vier en we zijn genaaid .
18286;pretérito perfecto compuesto;target;yes;yes;he;demostrado;;VHfin;VLadj;;haber;demostrar;;;Me he demostrado incapaz para reinar .;heb bewezen;Ik heb bewezen geen goed heerser te zijn .
18287;pretérito indefinido;target;yes;yes;llevaron;;;VLfin;;;llevar;;;;¿ Qué se llevaron de los vagones qué asaltaron ?;hebben gestolen;Wat hebben ze uit de goederenwagons gestolen ?
18289;pretérito indefinido;target;yes;yes;hiciste;;;VLfin;;;hacer;;;;- ¿ Qué te hiciste ?;heb gedaan;Wat heb je gedaan ?
18290;presente;target;yes;yes;servís;;;VLfin;;;servís;;;;"Bien servís al maestro .
Tan bien como puedo , en verdad .";hebt gediend;- Je hebt je meester goed gediend .
18291;pretérito indefinido;target;yes;yes;lograste;;;VLfin;;;lograr;;;;"- ¿ El qué ?
- Lo lograste .";hebt geflikt;- Je hebt het geflikt .
18292;pretérito indefinido;target;yes;yes;dio;;;VLfin;;;dar;;;;Goebbels me dio esta chaqueta .;heb gekregen;Deze ... ... jas heb ik gekregen van Goebbels .
18293;futuro imperfecto;target;yes;yes;estará;;;VEfin;;;estar;;;;Todo lo que flote estará en el agua ,;is uitgevaren;Alles wat drijft , is uitgevaren .
18294;pretérito perfecto compuesto;target;yes;yes;has;hecho;daño;VHfin;VLadj;NC;haber;hacer;daño;;Me has hecho daño con lo que has hecho .;hebt gedaan;Je hebt me pijn gedaan .
18295;pretérito perfecto compuesto;target;yes;yes;He;seguido;;VHfin;VLadj;;haber;seguir;;;He seguido vuestro consejo en todo asunto de mi reino , pero vuestra política haría de Inglaterra parte de Francia o España .;heb opgevolgd;Ik heb vrijwel al uw adviezen opgevolgd maar uw beleid maakt van Engeland een Franse of Spaanse provincie .
18296;presente;target;yes;yes;dan;;;VLfin;;;dar;;;;Y ahora no nos dan más los cheques porque Richard pidió un poco más de dinero .;hebben stopgezet;Nu hebben ze ook nog eens al onze uitkeringen stopgezet omdat Ries iets meer geld had gevraagd .
18297;pretérito indefinido;target;yes;yes;ocurrió;;;VLfin;;;ocurrir;;;;- Dime que ocurrió .;is gebeurd;Vertel me wat er is gebeurd .
18298;pretérito perfecto compuesto;target;yes;yes;ha;reclamado;;VHfin;VLadj;;haber;reclamar;;;María de Escocia ha reclamado ya vuestro trono , y Norfolk ,;heeft opgeëist;Maria van Schotland heeft uw troon al opgeëist .
18299;pretérito perfecto compuesto;target;yes;yes;ha;sido;arrestado;VHfin;VSadj;VLadj;haber;ser;arrestar;;Entonces , ¿ se supone que no ha sido arrestado ?;is gepakt;De dader is dus nog nie gepakt ?
18301;pretérito indefinido;target;yes;yes;pasó;;;VLfin;;;pasar;;;;- ¿ Así que pasó algo o que ?;heeft gekregen;Dus heeft hij wat gekregen of wat ?
18303;pretérito perfecto compuesto;target;yes;yes;habéis;convenido;;VHfin;VLadj;;haber;convenir;;;de que habéis convenido con María para fomentar vuestras ambiciones .;heeft gesproken;Dat u met Maria van Schotland heeft gesproken .
18304;pretérito perfecto compuesto;target;yes;yes;habéis;conseguido;;VHfin;VLadj;;haber;conseguir;;;Así que ... habéis conseguido la llave .;heeft gevonden;U heeft de sleutel gevonden .
18305;pretérito perfecto compuesto;target;yes;yes;has;contado;;VHfin;VLadj;;haber;contar;;;¿ Se lo has contado a alguien ?;Heb verteld;Heb je het aan iemand verteld ?
18306;pretérito perfecto compuesto;target;yes;yes;ha;concluido;;VHfin;VLadj;;haber;concluir;;;Mi cometido ha concluido .;is gestreden;Mijn strijd is gestreden .
18307;pretérito perfecto compuesto;target;yes;yes;He;rezado;;VHfin;VLadj;;haber;rezar;;;He rezado mucho por ti .;heb gebeden;Ik heb veel voor je gebeden .
18308;pretérito indefinido;target;yes;yes;dejé;;;VLfin;;;dejar;;;;Para serte sincero lo dejé hace poco y deberías hacer lo mismo .;ben gestopt;Eerlijk gezegd ben ik net gestopt , en u zou dat ook moeten doen .
18310;pretérito perfecto compuesto;target;yes;yes;ha;salvado;;VHfin;VLadj;;haber;salvar;;;Esta diabólica maquinación no ha salvado a vuestra bastarda Reina .;gered heeft;Toch weet ik zeker dat dit uw bastaardkoningin niet gered heeft .
18311;pretérito perfecto compuesto;target;yes;yes;habéis;divorciado;;VHfin;VLadj;;haber;divorciar;;;No creo que debierais aleccionarme en eso , mi Señor , pues ya os habéis divorciado dos veces .;gescheiden bent;Het is niet aan u om mij de les te lezen aangezien u zelf al twee keer gescheiden bent .
18312;pretérito indefinido;target;yes;yes;desembarcaron;;;VLfin;;;desembarcar;;;;"Tropas N-N-Norte-Americanas ,
B-B-Británicas y C-C-Canadienses ... desembarcaron en una pequeña playa al norte de la F-F ...";zijn gegaan;Noord-Amerikaanse , Britse en Canadese troepen zijn aan wal gegaan in het noorden van F ...
18313;pretérito perfecto compuesto;target;yes;yes;habéis;elegido;;VHfin;VLadj;;haber;elegir;;;Y habéis elegido bien , Alteza .;heeft gekozen;En u heeft goed gekozen , Majesteit .
18314;presente;target;yes;yes;Vamos;;;VLfin;;;ir;;;;Vamos perdiendo ,;heeft verloren;Onze voetbalclub heeft verloren .
18316;pretérito perfecto compuesto;target;yes;yes;ha;oído;;VHfin;VLadj;;haber;oír;;;Su Majestad ha oído un rumor ...;heeft vernomen;- Zijne Majesteit heeft vernomen ...
18317;pretérito indefinido;target;yes;yes;Tuvo;;;VLfin;;;tener;;;;Tuvo suerte ,;heeft gehad;Hij heeft geluk gehad .
18320;pretérito perfecto compuesto;target;yes;yes;He;decidido;;VHfin;VLadj;;haber;decidir;;;He decidido otorgaros el título de Lord Burghley , para que gocéis vuestro retiro con mayor desahogo .;heb besloten;Ik heb besloten u te verheffen tot Lord Burghley zodat u rustig van uw pensioen kunt genieten .
18321;presente;target;yes;yes;acabamos;;;VLfin;;;acabar;;;;Pero al final siempre acabamos muy aburridos .;hebben verveeld;Maar uiteindelijk hebben we ons allemaal verveeld .
18322;pretérito indefinido;target;yes;yes;cometí;;;VLfin;;;cometer;;;;Porque , Majestad , ninguno cometí .;gepleegd heb;Omdat ik geen misdaden gepleegd heb .
18323;pretérito perfecto compuesto;target;yes;yes;ha;vuelto;;VHfin;VLadj;;haber;volver;;;El resto de los hombres no ha vuelto , los puestos de vigilancia no contestan .;heeft gehaald;De rest heeft het niet gehaald .
18326;pretérito perfecto compuesto;target;yes;yes;Ha;oído;;VHfin;VLadj;;haber;oír;;;Ha oído grandes elogios a vuestra belleza .;heeft gehoord;Hij heeft gehoord van uw schoonheid .
18327;pretérito perfecto compuesto;target;yes;yes;has;llamado;;VHfin;VLadj;;haber;llamar;;;Me has llamado , aquí estoy .;hebt opgevorderd;Je hebt me opgevorderd , hier ben ik .
